content,author,source
"Ý dẫn đầu các pháp,
Ý làm chủ, ý tạo;
Nếu với ý ô nhiễm,
Nói lên hay hành động,
Khổ não bước theo sau,
Như xe, chân vật kéo.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 1
"Ý dẫn đầu các pháp,
Ý làm chủ, ý tạo,
Nếu với ý thanh tịnh,
Nói lên hay hành động,
An lạc bước theo sau,
Như bóng, không rời hình.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 2
"Nó mắng tôi, đánh tôi,
Nó thắng tôi, cướp tôi
Ai ôm hiềm hận ấy,
Hận thù không thể nguôi.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 3
"Nó mắng tôi, đánh tôi,
Nó thắng tôi, cướp tôi,
Không ôm hiềm hận ấy,
Hận thù được tự nguôi.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 4
"Với hận diệt hận thù,
Đời này không có được.
Không hận diệt hận thù,
Là định luật ngàn thu.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 5
"Người khác không hiểu biết,
Chúng ta đây bị hại.
Chỗ ấy, ai hiểu được
Tranh luận được lắng êm.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 6
"Ai sống nhìn tịnh tướng,
không hộ trì các căn,
ăn uống thiếu tiết độ,
biếng nhác, chẳng tinh cần.
Ma uy hiếp kẻ ấy,
như cây yếu trước gió.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 7
"Ai sống quán bất tịnh,
Khéo hộ trì các căn,
ăn uống có tiết độ,
có lòng tin, tinh cần,
Ma không uy hiếp được,
Như núi đá, trước gió.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 8
"Ai mặc áo cà sa,
tâm chưa rời uế trược,
không tự chế, không thực,
không xứng áo cà sa.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 9
"Ai rời bỏ uế trược,
giới luật khéo nghiêm trì,
tự chế, sống chơn thực,
thật xứng áo cà sa.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 10
"Không chân, tưởng chân thật,
Chân thật, thấy không chân:
Chúng không đạt chân thật,
Do tà tư, tà hạnh.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 11
"Chân thật, biết chân thật,
Không chân, biết không chân.
Chúng đạt được chân thật,
do chánh tư, chánh hạnh.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 12
"Như ngôi nhà vụng lợp,
Mưa liền xâm nhập vào.
Cũng vậy tâm không tu,
Tham dục liền xâm nhập.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 13
"Như ngôi nhà khéo lợp,
Mưa không xâm nhập vào.
Cũng vậy tâm khéo tu,
Tham dục không xâm nhập.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 14
"Nay sầu, đời sau sầu,
Kẻ ác, hai đời sầu;
Nó sầu, nó ưu não,
Thấy nghiệp uế mình làm.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 15
"Nay vui, đời sau vui,
Làm phước, hai đời vui.
Nó vui, nó an vui,
Thấy nghiệp tịnh mình làm.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 16
"Nay than, đời sau than,
Kẻ ác, hai đời than,
Nó than: 'Ta làm ác'
Đọa cõi dữ, than hơn.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 17
"Nay sướng, đời sau sướng,
Làm phước, hai đời sướng.
Nó sướng: 'Ta làm thiện',
Sanh cõi lành, sướng hơn.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 18
"Nếu người nói nhiều kinh,
Không hành trì, phóng dật;
Như kẻ chăn bò người,
Không phần Sa môn hạnh.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 19
"Dầu nói ít kinh điển,
Nhưng hành pháp, tùy pháp,
Từ bỏ tham, sân, si,
Tĩnh giác, tâm giải thoát,
Không chấp thủ hai đời,
Dự phần Sa môn hạnh.",Kinh Pháp Cú,Phẩm Song Đối - Bài Kệ 20
"Không phóng dật, đường sống,
Phóng dật là đường chết.
Không phóng dật, không chết,
Phóng dật như chết rồi.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 21
"Biết rõ sai biệt ấy,
Người trí không phóng dật,
Hoan hỷ, không phóng dật,
An vui hạnh bậc Thánh.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 22
"Người hằng tu thiền định,
Thường kiên trì tinh tấn.
Bậc trí hưởng Niết Bàn,
Ách an tịnh vô thượng.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 23
"Nỗ lực, giữ chánh niệm,
Tịnh hạnh, hành thận trọng
Tự điều, sống theo pháp,
Ai sống không phóng dật,
Tiếng lành ngày tăng trưởng.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 24
"Nỗ lực, không phóng dật,
Tự điều, khéo chế ngự.
Bậc trí xây hòn đảo,
Nước lụt khó ngập tràn.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 25
"Chúng ngu si thiếu trí,
Chuyên sống đời phóng dật.
Người trí, không phóng dật,
Như giữ tài sản quý.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 26
"Chớ sống đời phóng dật,
Chớ mê say dục lạc.
Không phóng dật, thiền định,
Đạt được an lạc lớn.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 27
"Người trí dẹp phóng dật,
Với hạnh không phóng dật,
Leo lầu cao trí tuệ,
Không sầu, nhìn khổ sầu,
Bậc trí đứng núi cao,
Nhìn kẻ ngu, đất bằng.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 28
"Tinh cần giữa phóng dật,
Tỉnh thức giữa quần mê.
Người trí như ngựa phi,
Bỏ sau con ngựa hèn.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 29
"Đế Thích không phóng dật,
Đạt ngôi vị Thiên chủ.
Không phóng dật, được khen;
Phóng dật, thường bị trách.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 30
"Vui thích không phóng dật,
Tỷ kheo sợ phóng dật,
Bước tới như lửa hừng,
Thiêu kiết sử lớn nhỏ.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 31
"Vui thích không phóng dật,
Tỷ kheo sợ phóng dật,
Không thể bị thối đọa,
Nhất định gần Niết Bàn.",Kinh Pháp Cú,Phẩm Không Xao Lãng - Bài Kệ 32
"Tâm hoảng hốt giao động,
Khó hộ trì, khó nhiếp,
Người trí làm tâm thẳng,
Như thợ tên, làm tên.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 33
"Như cá quăng lên bờ,
Vất ra ngoài thủy giới;
Tâm này vũng vẫy mạnh,
Hãy đoạn thế lực Ma.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 34
"Khó nắm giữ, khinh động,
Theo các dục quay cuồng.
Lành thay, điều phục tâm;
Tâm điều, an lạc đến.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 35
"Tâm khó thấy, tế nhị,
Theo các dục quay cuồng.
Người trí phòng hộ tâm,
Tâm hộ, an lạc đến.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 36
"Chạy xa, sống một mình,
Không thân, ẩn hang sâu
Ai điều phục được tâm,
Thoát khỏi Ma trói buộc.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 37
"Ai tâm không an trú,
Không biết chân diệu pháp,
Tịnh tín bị rúng động,
Trí tuệ không viên thành.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 38
"Tâm không đầy tràn dục,
Tâm không (hận) công phá,
Đoạn tuyệt mọi thiện ác,
Kẻ tỉnh không sợ hãi.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 39
"Biết thân như đồ gốm,
Trú tâm như thành trì,
Chống ma với gươm trí;
Giữ chiến thắng không tham.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 40
"Không bao lâu thân này,
Sẽ nằm dài trên đất,
Bị vất bỏ, vô thức,
Như khúc cây vô dụng.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 41
"Kẻ thù hại kẻ thù,
Oan gia hại oan gia,
Không bằng tâm hướng tà,
Gây ác cho tự thân.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 42
"Điều mẹ cha bà con,
Không có thể làm được
Tâm hướng chánh làm được
Làm được tốt đẹp hơn.",Kinh Pháp Cú,Phẩm Tâm - Bài Kệ 43
"Ai chinh phục đất này
Dạ ma, Thiên giới này?
Ai khéo giảng Pháp cú,
Như người khéo hái hoa?",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 44
"Hữu học chinh phục đất,
Dạ ma, Thiên giới này.
Hữu học giảng Pháp cú,
Như người khéo hái hoa.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 45
"Biết thân như bọt nước,
Ngộ thân là như huyễn,
Bẻ tên hoa của ma,
Vượt tầm mắt thần chết.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 46
"Người nhặt các loại hoa,
Ý đắm say, tham nhiễm,
Bị thần chết mang đi,
Như lụt trôi làng ngủ.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 47
"Người nhặt các loại hoa,
Ý đắm say tham nhiễm,
Các dục chưa thỏa mãn,
Đã bị chết chinh phục.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 48
"Như ong đến với hoa,
Không hại sắc và hương,
Che chở hoa, lấy nhụy.
Bậc Thánh đi vào làng.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 49
"Không nên nhìn lỗi người,
Người làm hay không làm.
Nên nhìn tự chính mình.
Có làm hay không làm.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 50
"Như bông hoa tươi đẹp,
Có sắc nhưng không hương.
Cũng vậy, lời khéo nói,
Không làm, không kết quả.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 51
"Như bông hoa tươi đẹp,
Có sắc lại thêm hương;
Cũng vậy, lời khéo nói,
Có làm, có kết quả.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 52
"Như từ một đống hoa,
Nhiều tràng hoa được làm.
Cũng vậy, thân sanh tử,
Làm được nhiều việc lành.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 53
"Hương các loại hoa thơm
Không ngược bay chiều gió
Nhưng hương người đức hạnh
Ngược gió khắp tung bay
Chỉ có bậc chân nhân
Tỏa khắp mọi phương trời.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 54
"Hoa chiên đàn, già la,
Hoa sen, hoa vũ quý,
Giữa những hương hoa ấy,
Giới hương là vô thượng.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 55
"Ít giá trị hương này,
Hương già la, chiên đàn;
Chỉ hương người đức hạnh,
Tối thượng tỏa Thiên giới.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 56
"Giữa ai có giới hạnh,
An trú không phóng dật,
Chánh trí, chơn giải thoát,
Ác ma không thấy đường.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 57
"Như giữa đống rác nhớp,
Quăng bỏ trên đường lớn,
Chỗ ấy hoa sen nở,
Thơm sạch, đẹp ý người.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 58
"Cũng vậy giữa quần sanh,
Uế nhiễm, mù, phàm tục,
Đệ tử bậc Chánh Giác,
Sáng ngời với Tuệ Trí.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 59
"Đêm dài cho kẻ thức,
Đường dài cho kẻ mệt,
Luân hồi dài, kẻ ngu,
Không biết chơn diệu pháp.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 60
"Tìm không được bạn đường,
Hơn mình hay bằng mình,
Thà quyết sống một mình,
Không bè bạn kẻ ngu.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 61
"Con tôi, tài sản tôi,
Người ngu sanh ưu não,
Tự ta, ta không có,
Con đâu, tài sản đâu.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 62
"Người ngu nghĩ mình ngu,
Nhờ vậy thành có trí.
Người ngu tưởng có trí,
Thật xứng gọi chí ngu.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 63
"Người ngu, dầu trọn đời,
Thân cận người có trí,
Không biết được Chánh pháp,
Như muỗng với vị canh.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 64
"Người trí, dầu một khắc,
Thân cận người có trí,
Biết ngay chân diệu pháp,
Như lưỡi với vị canh.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 65
"Người ngu si thiếu trí,
Tự ngã thành kẻ thù.
Làm các nghiệp không thiện,
Phải chịu quả đắng cay.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 66
"Nghiệp làm không chánh thiện,
Làm rồi sanh ăn năn,
Mặt nhuốm lệ, khóc than,
Lãnh chịu quả dị thục.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 67
"Và nghiệp làm chánh thiện,
Làm rồi không ăn năn,
Hoan hỷ, ý đẹp lòng,
Hưởng thọ quả dị thục.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 68
"Người ngu nghĩ là ngọt,
Khi ác chưa chín muồi;
Ác nghiệp chín muồi rồi,
Người ngu chịu khổ đau.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 69
"Tháng tháng với ngọn cỏ,
Người ngu có ăn uống
Không bằng phần mười sáu
Người hiểu pháp hữu vi.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 70
"Nghiệp ác đã được làm,
Như sữa, không đông ngay,
Cháy ngầm theo kẻ ngu,
Như lửa tro che đậy.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 71
"Tự nó chịu bất hạnh,
Khi danh đến kẻ ngu.
Vận may bị tổn hại,
Đầu nó bị nát tan.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 72
"Ưa danh không tương xứng,
Muốn ngồi trước tỷ kheo,
Ưa quyền tại tịnh xá,
Muốn mọi người lễ kính.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 73
"Mong cả hai tăng, tục,
Nghĩ rằng (chính ta làm).
Trong mọi việc lớn nhỏ,
Phải theo mệnh lệnh ta
Người ngu nghĩ như vậy
Dục và mạn tăng trưởng.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 74
"Khác thay duyên thế lợi,
Khác thay đường Niết Bàn.
Tỷ kheo, đệ tử Phật,
Hãy như vậy thắng tri.
Chớ ưa thích cung kính,
Hãy tu hạnh viễn ly.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 75
"Nếu thấy bậc hiền trí,
Chỉ lỗi và khiển trách,
Như chỉ chỗ chôn vàng
Hãy thân cận người trí!
Thân cận người như vậy,
Chỉ tốt hơn, không xấu.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 76
"Những người hay khuyên dạy,
Ngăn người khác làm ác,
Được người hiền kính yêu,
Bị người ác không thích.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 77
"Chớ thân với bạn ác,
Chớ thân kẻ tiểu nhân.
Hãy thân người bạn lành,
Hãy thân bậc thượng nhân.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 78
"Pháp hỷ đem an lạc,
Với tâm tư thuần tịnh;
Người trí thường hoan hỷ,
Với pháp bậc Thánh thuyết.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 79
"Người trị thủy dẫn nước,
Kẻ làm tên nắn tên,
Người thợ mộc uốn gỗ,
Bậc trí nhiếp tự thân.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 80
"Như đá tảng kiên cố,
Không gió nào giao động,
Cũng vậy, giữa khen chê,
Người trí không giao động.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 81
"Như hồ nước sâu thẳm,
Trong sáng, không khuấy đục,
Cũng vậy, nghe chánh pháp,
Người trí hưởng tịnh lạc.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 82
"Người hiền bỏ tất cả,
Người lành không bàn dục,
Dầu cảm thọ lạc khổ,
Bậc trí không vui buồn.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 83
"Không vì mình, vì người.
Không cầu được con cái,
Không tài sản quốc độ,
Không cầu mình thành tựu,
Với việc làm phi pháp.
Vị ấy thật trì giới,
Có trí tuệ, đúng pháp.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 84
"Ít người giữa nhân loại,
Đến được bờ bên kia
Còn số người còn lại,
Xuôi ngược chạy bờ này.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 85
"Những ai hành trì pháp,
Theo chánh pháp khéo dạy,
Sẽ đến bờ bên kia,
Vượt ma lực khó thoát.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 86
"Kẻ trí bỏ pháp đen,
Tu tập theo pháp trắng.
Bỏ nhà, sống không nhà,
Sống viễn ly khổ lạc.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 87
"Hãy cầu vui Niết Bàn,
Bỏ dục, không sở hữu,
Kẻ trí tự rửa sạch,
Cấu uế từ nội tâm.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 88
"Những ai với chánh tâm,
Khéo tu tập giác chi,
Từ bỏ mọi ái nhiễm,
Hoan hỷ không chấp thủ.
Không lậu hoặc, sáng chói,
Sống tịch tịnh ở đời.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 89
"Đích đã đến, không sầu,
Giải thoát ngoài tất cả,
Đoạn trừ mọi buộc ràng,
Vị ấy không nhiệt não.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 90
"Tự sách tấn, chánh niệm,
Không thích cư xá nào,
Như ngỗng trời rời ao,
Bỏ sau mọi trú ẩn.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 91
"Tài sản không chất chứa,
Ăn uống biết liễu tri,
Tự tại trong hành xứ,
""Không vô tướng, giải thoát,""
Như chim giữa hư không,
Hướng chúng đi khó tìm.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 92
"Ai lậu hoặc đoạn sạch,
Ăn uống không tham đắm,
Tự tại trong hành xứ,
""Không, vô tướng giải thoát.""
Như chim giữa hư không,
Dấu chân thật khó tìm.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 93
"Ai nhiếp phục các căn,
Như đánh xe điều ngự,
Mạn trừ, lậu hoặc dứt,
Người vậy, Chư Thiên mến.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 94
"Như đất, không hiềm hận,
Như cột trụ, kiên trì,
Như hồ, không bùn nhơ,
Không luân hồi, vị ấy.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 95
"Người tâm ý an tịnh,
Lời an, nghiệp cũng an,
Chánh trí, chơn giải thoát,
Tịnh lạc là vị ấy.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 96
"Không tin, hiểu vô vi.
Người cắt mọi hệ lụy
Cơ hội tận, xả ly
Vị ấy thật tối thượng.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 97
"Làng mạc hay rừng núi
Thung lũng hay đồi cao,
La Hán trú chỗ nào,
Đất ấy thật khả ái.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 98
"Khả ái thay núi rừng,
Chỗ người phàm không ưa,
Vị ly tham ưa thích,
Vì không tìm dục lạc.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 99
"Dầu nói ngàn ngàn lời,
Nhưng không gì lợi ích,
Tốt hơn một câu nghĩa,
Nghe xong, được tịnh lạc.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 100
"Dầu nói ngàn câu kệ
Nhưng không gì lợi ích,
Tốt hơn nói một câu,
Nghe xong, được tịnh lạc.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 101
"Dầu nói trăm câu kệ
Nhưng không gì lợi ích,
Tốt hơn một câu pháp,
Nghe xong, được tịnh lạc.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 102
"Dầu tại bãi chiến trường
Thắng ngàn ngàn quân địch,
Tự thắng mình tốt hơn,
Thật chiến thắng tối thượng.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 103
"Tự thắng, tốt đẹp hơn,
Hơn chiến thắng người khác.
Người khéo điều phục mình,
Thường sống tự chế ngự.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 104
"Dầu Thiên Thần, Thát Bà,
Dầu Ma vương, Phạm Thiên
Không ai chiến thắng nổi,
Người tự thắng như vậy.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 105
